scientificName,redlistCategory,top 1 label,top 1 prob,top 2 label,top 2 prob,top 3 label,top 3 prob,top 4 label,top 4 prob,top 5 label,top 5 prob,top 6 label,top 6 prob,range,population,habitats,threats,use_trade,rationale,taxonomic_notes
Berylmys mackenziei,LC,LC,0.9971799850463867,NT,0.0024478123523294926,VU,0.00018344863201491535,EN,0.0001042873045662418,EX,5.5759999668225646e-05,CR,2.8770315111614764e-05,"This poorly-known species has been reported from Assam in northeast India, adjacent northern Myanmar, and is additionally known from isolated, apparently disjunct, records in southern China (Sichuan Province), southern Myanmar and southern Viet Nam. Several museum vouchers have also been attributed to <em>B. mackenziei</em> from Thailand, northwestern Lao People's Democratic Republic and Bangladesh (K.L. Tuttle pers. comm. 2024). It appears to be possible that the species is present only as patchy isolated populations that may represent distinct undescribed taxa; genetic analysis of individuals from India and China revealed unusually high nucleotide diversity (K.L. Tuttle pers. comm. 2024). It is an upland species that has a rough altitudinal range of 1,200 to 3,000 m asl. The only specimen known from China was collected at 2,000 m (Smith and Xie 2008). It is largely sympatric with <em>B. manipulus</em> but at higher elevations of 1,067-1,829 m asl (Tuttle 2021).","It appears to be a locally abundant species in Assam, India, inferred from the number of specimens collected.",It is a nocturnal and fossorial species occurring in subtropical montane evergreen and moist deciduous forests (Molur <em>et al</em>. 2005).&#160;Head and body length averages 155-243 mm (Musser and Newcomb 1983).,"The threats to this poorly-known species in Southeast Asia are not known. In South Asia, the major threats include habitat loss (for agriculture and development), fragmentation, logging, fires and encroachment (Molur <em>et al. </em>2005). Forest loss has been reported broadly across the countries within which it occurs (Johnson 2015, Naing Tun&#160;<em>et al</em>. 2021, Deka 2024)&#160;but the exact impacts on this species are unknown.",,"This species is listed as Least Concern as it has a large extent of occurrence of 1,922,915 km<sup>2</sup>&#160;and is not known to be undergoing any significant level of decline at present. However, it may be affected by habitat loss across its range. Further work is needed to clarify the impacts of this threat, population trends and taxonomy.","The single specimen from Sichuan is larger and darker than typical examples of the species, with more specimens needed to determine if it represents a separate species (Smith and Xie 2008).&#160;Analysis of mitochondrial CYTB and CO1 genes places this specimen as basal to the <em>Berylmys bowersi</em> species group. However, anatomically, it is a large example of <em>Berylmys mackenziei</em>. Nuclear DNA analysis would be needed to determine if this individual is a hybrid (K. L. Tuttle pers. comm. 2024).<br/>Further taxonomic studies are needed to resolve whether <em>B. mackenziei </em>is a complex of several species."
Berylmys manipulus,LC,NT,0.8015730381011963,LC,0.16135704517364502,VU,0.03227204829454422,EN,0.0036364442203193903,CR,0.0007243028376251459,EX,0.0004370946262497455,"This species is present in India in Assam (Golaghat), Nagaland (Kekrima and Naga Hills), and Manipur (Bishenpur, Senapati: parts of Imphal and Singda Dam, Ukhrul: Phungcham, and Kamjong district: Makan, Phungyar, Phalang, Kangpat, Khonglo, Kasom Khullen); north and central Myanmar, and southern China (Yunnan west of the Salween river) (Molur <em>et al</em>. 2005, Musser and Carleton 2005, Smith and Xie 2008). It is at least partly sympatric in range with <em>B. mackenziei</em> and <em>B. bowersi</em> (Tuttle 2021). It is found from elevations of&#160;75 to 1,524 m asl (GBIF Secretariat 2023).","In central Myanmar, it is fairly common in forests; most available information comes from India from the early 1900s (Musser and Newcomb 1983). It is also referred to as common in Manipur by&#160;Chingangbam <em>et al</em>. (2015). No further information on its population is available.","It has been recorded from evergreen rainforest, oak-scrub associations (with or without tall grass), riverine meadow, riverine scrub, never trapped in human habitations or cultivated fields (Musser and Newcomb 1983, Smith and Xie 2008). In South Asia, it occurs in subtropical montane forests, high altitude scrublands and grasslands where it is seen among patches with oak scrub and bamboo (Molur <em>et al.</em> 2005). This species is a burrow dweller and feeds on plants, insects and earthworms (Smith and Xie 2008).&#160;It is believed to use burrows in family groups, and may be semi-arboreal (C.D. Singh pers. comm. 2024).","The major threat is likely to be forest loss, since it appears to be largely dependent on forest habitats, much of which has been extensively deforested due to logging and expanding human settlement in the region (Naing Tun <em>et al</em>. 2021, Salew <em>et al.</em> 2024). It is hunted&#160;in areas such as Kamjong, Manipur, possibly as an incentive to keep rodent populations down during bamboo flowering (S. Molur pers. comm.) but also for food (C. D. Singh pers. comm. 2024).",It is hunted for food in India.,"This species is listed as Least Concern as it has a relatively wide extent of occurrence of 251,124 km<sup>2</sup>, it is found across a variety of habitats and is not known to be undergoing any significant level of decline at present. However, it is likely threatened by hunting and habitat loss. Further survey work is needed to clarify the impacts of these threats as well as population trends.","Thomas in 1916 described the Manipuri rat from Myanmar as <em>Epimys manipulus </em>(Thomas 1916). In 1919, this rat was described as <em>Rattus manipulus</em> from Manipur and Kabaw valley, Myanmar (Wroughton 1915). It has also been referred to as <em>Rattus manipulus manipulus</em>&#160;(Ellerman 1961) but is now recognised as <em>Berylmys manipulus</em>."
Cabassous centralis,LC,NT,0.704662024974823,LC,0.25977224111557007,VU,0.029994523152709007,EN,0.004028351977467537,CR,0.000943616556469351,EX,0.0005992975202389061,"<span style=""font-style: italic;"">Cabassous centralis</span> ranges from Chiapas state in Mexico, through Central America, to western Colombia, north-western Ecuador and north-western Venezuela (Chacón-Pacheco <em>et al</em>. 2021). It occurs from sea level to around 3,000 m Asl.","<span style=""font-style: italic;"">Cabassous centralis</span> is apparently rare and patchily distributed. Individuals are not commonly seen or captured, which may be due to its secretive habits. The population trend is unknown.","<span style=""font-style: italic;"">Cabassous centralis</span> occurs in dry, to moderately moist (mesic), deciduous and semi-deciduous forests, at forest edges in rocky terrain and in open habitats such as dry savanna (Reid 1997). It has also been recorded in tropical moist montane forests, as well as in the subparamo of the Colombian Central Andean highlands (Díaz-N. and Sánchez-Giraldo 2008, Turcios-Casco <em>et al</em>. 2022). It can be found in secondary forest habitat, and also tolerates a moderate mix of forest, agricultural land, semiurban areas (Marín <em>et al.</em> 2021), and buffer zones of protected areas (Turcios-Casco<em> et al</em>. 2022).&#160;It seems to prefer areas where prolonged periods of rain alternate with long drought periods (Chacón-Pacheco&#160;<em>et al</em>.&#160;2021).<p>It is a solitary, insectivorous species, partly adapted to digging and life underground. No data are available about its spatial ecology or its reproductive strategy.</p>","The exact threats to this species are not known. Throughout most of its range, <span style=""font-style: italic;"">C. centralis</span> is not hunted for food because of its pungent odour and local beliefs. For instance, in Honduras it is sometimes killed due to this belief, and is even part of the country's folklore with popular songs (see Turcios-Casco <em>et al</em>. 2020). The species is, however, hunted in some parts of its known Andean distribution (Aldana <em>et al</em>. 2006, Castaño and Corrales 2010, Racero-Casarrubio and González-Maya 2014, Tinoco-Sotomayor <em>et al</em>. 2016).                   In parts of its range in Mexico and Honduras the species is thought to be poisonous and is killed every time it is encountered (González-Zamora <em>et al.</em> 2011, Hayssen <em>et al</em>. 2013, Turcios-Casco <em>et al</em>. 2020).<br/><br/>Some Andean populations are facing severe impacts due to urbanization of their natural habitat. <span style=""font-style: italic;"">Cabassous centralis</span> is distributed throughout the tropical dry forest, one of the most threatened habitats of northwestern South America, which in Colombia has been reduced to 1.5% of its original area (Etter 1993). Although its sensitivity to habitat loss is not known and the species seems to tolerate some degree of habitat degradation, it seems to prefer primary, well-preserved forests. The severe habitat  transformations are therefore likely to have a negative impact on the species. Furthermore, automobiles seem to be a threat in human-dominated landscapes&#160;(Delgado-V. 2007, González-Zamora <em>et al</em>. 2011). This impact is also suspected to occur in Belize (Soriero <em>et al</em>. 2018).",The species is not utilized.,"<p><span lang=""EN-US""><em>Cabassous centralis</em><span lang=""EN-US"">&#160;is listed as Least Concern due to its wide range and its presence in a number of protected areas. It should, however, be stressed that knowledge on the current status of its population is limited and that information on the impacts of habitat loss and other threats is scarce. Habitat destruction is advancing at a fast pace throughout the range of&#160;<em>C. centralis</em>, which may justify its classification as Near Threatened or Vulnerable under criterion A4c in the near future.</span></p>","The wide range of <span style=""font-style: italic;"">C. centralis</span> might be obscuring the presence of locally distributed forms that may constitute separate species."
Crocidura musseri,VU,LC,0.6114774346351624,NT,0.2711099088191986,VU,0.06352456659078598,EN,0.027884405106306076,EX,0.013401388190686703,CR,0.012602404691278934,"This species is endemic to the island of Sulawesi, Indonesia, where it appears to be restricted to high elevation areas above 1,800 m asl in the northern portions of the west-central area of endemism east of the Palu-Koro Fault in Central Sulawesi Province (Esselstyn <em>et al</em>. 2021). Ruedi (1995) reported specimens of this species from only the type locality on Mt. Rorekatimbo, whilst Musser (1987) collected specimens on the neighbouring Mt. Nokilalaki. The species has been recorded up to 2,300 m asl.",The abundance and population size of this species are not known.,"It is found in mossy montane forests on Gunung Rorekatimbo. It likely occurs in similar habitat more widely, but it has not been found at lower elevations nearby, from 1,000 to 1,500 m asl (L. Ruedas pers. comm), so it may be restricted to higher elevations. This species is a member of the moss forest guild of small mammals described by Musser (1987). There is no information on whether or not it can adapt to anthropogenic habitats.","The specific threats to this species are not known, but many lowland forested areas of Sulawesi have been converted for agriculture, mining, logging and settlements (see Supriatna <em>et al</em>. 2020). Between 2000-2017, 10.9% of forest cover was lost across Sulawesi (Supriatna <em>et al</em>. 2020).",,"This species is known from few localities. Based on these records, it is estimated to have a small extent of occurrence (EOO) of 1,988 km². It is also potentially under threat from habitat loss, driven by logging and expanding agriculture, which has started to encroach onto higher elevations. It could therefore qualify as Endangered under criterion B1, but the limits of its distribution are not completely clear and many montane regions in Sulawesi remain almost entirely unexplored by mammologists; further surveys could reveal a wider range. If its EOO is considerably larger, this would potentially qualify this species for a listing outside of a threatened category. As such, considering the general decline in extent and quality of forest habitat in Sulawesi, and adopting a precautionary approach based on what is currently known, this species is assessed in an intermediate category: Vulnerable (B1ab(iii)). Further surveys are needed to improve knowledge of its range, population and threats.",
Aboma etheostoma,LC,LC,0.9992875456809998,NT,0.0006271575693972409,VU,4.21462427766528e-05,EN,2.3401653379551135e-05,EX,1.3386966202233452e-05,CR,6.295935691014165e-06,"This species is distributed in the Tropical Eastern Pacific from the lower Gulf of California, Mexico south to northern Peru (Robertson and Allen 2024). The depth range is 0-10 m (Robertson and Allen 2024).","This species is common and can be locally abundant (J. Van Tassell pers. comm. 2024). It is rare in the Gulf of Tehuantepec (Romero-Berny&#160;<em>et al.&#160;</em>20<span style="""">18), and had a relative abundance of 3.9% in the San Pedro Mezquital River, Mexico (Gonzalez-Diaz <em style="""">et al.</em> 2015).</span>","This demersal species primarily inhabits shallow estuaries with soft bottoms consisting of mud, sand, or gravel (Robertson and Allen 2024). It can also be found in freshwater rivers and coastal marine waters with salinity values of up <span style="""">to ~43 PSU (Castro-Aguirre <em>et al. </em>1999, A</span>ngulo <em>et al.</em> 2013, Romero-Berny&#160;<em>et al.&#160;</em>2018). This species feeds on mobile benthic worms and small crustacea such as shrimp and crabs (Robertson and Allen 2024).&#160;The maximum total length is 3.6 cm (Robertson and Allen 2024).","This species is locally impacted by loss of habitat due to shrimp farming, coastal aquaculture, and mangrove destruction from coastal development (Van Tassell and Findley 2010).",This species is not utilized.,"This estuarine species is widely distributed. Estuarine degradation is not suspected to be driving a global decline approaching 30% at this time; therefore, it is listed as Least Concern.",
Akko brevis,LC,NT,0.6118667721748352,LC,0.27490293979644775,VU,0.08661700040102005,EN,0.017245784401893616,CR,0.005667650606483221,EX,0.0036999108269810677,"This species is distributed in the Tropical Eastern Pacific from northern El Salvador south to northern Peru (Robertson and Allen 2024). The depth range is 5-40 m (Robertson and Allen 2024).<br/><br/>Based on clipping the extent of its distribution to the 2020 WCMC global map of mangroves, the area of available habitat is about 6,423 km<sup>2</sup>, and therefore, the estimated area of occupancy (AOO) is inferred to be greater than 3,000 km<sup>2</sup>. The number of locations is greater than 10.",This species is commonly trawled in shrimp fisheries in El Salvador (Van Tassell and Baldwin 2004). It is uncommon in other areas throughout its range but can be locally abundant in its preferred habitat&#160;(D.R. Robertson pers. comm. 2024).,"This demersal species <span style="""">is found in anoxic, black muddy substrates</span> of estuaries and mangroves (Van Tassell and Findley 2010). It is known to feed on pelagic fish eggs and zooplankton (Robertson and Allen 2024). The maximum total length is 8 cm (Robertson and Allen 2024).","As this species is taken in large quantities as bycatch in shrimp trawls, and in parts of its range, it may experience some localized declines.",This species is not utilized. It frequently occurs as bycatch in shrimp trawls (Van Tassell and Baldwin 2004).,"This mangrove and estuarine species is widely distributed. There are no known major threats; therefore, it is listed as Least Concern.",
Akko rossi,EN,CR,0.7462838292121887,EN,0.14092616736888885,VU,0.05924547463655472,EX,0.030406879261136055,NT,0.01379628200083971,LC,0.009341408498585224,"This species is only known from the type locality in the Gulf of Fonseca, El Salvador (Van Tassell and Baldwin 2004). Extensive trawling from El Salvador to Panama resulted in no other individuals being found (Van Tassell and Findley 2010). This species is inferred to be endemic to the Gulf of Fonseca as sampling effort has occurred in nearby areas that did not record this species and the Gulf of Fonseca is a high salinity estuary that is a somewhat unusual habitat that does not commonly occur in the eastern tropical Pacific (D.R. Robertson pers. comm. 2024). Additional sampling effort is needed in shallow water to clarify its distribution (J. Van Tassell pers. comm. 2024). The depth range for this fish is 7–9.5 m. <br/><br/>Based on a minimum convex polygon drawn around the extent of the Gulf of Fonseca, its estimated extent of occurrence (EOO) is 3,098 km². Based on clipping the extent of its distribution to the 2020 WCMC global map of mangroves, the area of available habitat is about 722 km², and therefore, it is inferred that the estimated area of occupancy (AOO) is somewhere between 500 km² and 2,000 km². The species is estimated to occur in 4–5 locations, based on the pervasive threat from mangrove degradation within its range.","This species is known from the holotype&#160;collected in 2001 (Van Tassell and Findley 2010). There has been other trawl&#160;sampling effort conducted in nearby areas since 2010 that could have caught this species but did not record it (e.g., Gonzalez-Murcia <em>et al</em>. 2019).","This species is poorly known, but is thought to inhabit mud and sand substrate in estuaries offshore from mangroves (Van Tassell and Findley 2010). The maximum total length is 12 cm (Robertson and Allen 2015).","This species is threatened by mangrove degradation throughout its range. In the Gulf of Fonseca, mangrove deforestation for timber and/or firewood and the removal of mangroves to construct shrimp aquaculture farms caused about 22% of the mangrove habitat to be lost as of the 1990s–2000s (Dewalt <em>et al</em>. 1996, Stanley and Alduvin 2002). Loss of mangroves in the Gulf between 1985 and 2010 was highest in El Salvador and enforcement of conservation measures is insufficient to prevent further decline (Buchanan 2019). This species may also be impacted by shrimp trawls, which is a very active fishing industry in the Gulf of Fonseca in both Honduras and El Salvador (Campbell 2015, Canty <em>et al</em>. 2019).","This species is not utilized. Similar to <em>Akko brevis</em>, it may be commonly trawled in shrimp fisheries in El Salvador (Van Tassell and Baldwin 2004).","<span style="""">This mangrove-associated species is only known from the holotype, collected in the Gulf of Fonseca, El Salvador in 2001. It is&#160;inferred to be endemic to Gulf of Fonseca.&#160;Mangrove loss and degradation is a major threat and shrimp trawling effort is high throughout its range, and this may also represent an additional major threat. The number of locations is one based on the pervasive loss of mangrove habitat throughout the Gulf of Fonseca and it is listed as&#160;Endangered (EN B1ab(iii)+B2ab(iii)), with a recommendation to research its population status and distribution.&#160;</span>",
Astrabe fasciata,LC,LC,0.9995322227478027,NT,0.0004073499876540154,VU,2.8486607334343717e-05,EN,1.738384526106529e-05,EX,1.0410110007796902e-05,CR,4.219371021463303e-06,"This species is distributed in Japan from Aomori, Niigata, northern Hyogo, Ehime and Nagasaki (Akihito and Meguro 1988, Okamoto and Endo 2007, Nakabo 2013).&#160;The depth range is&#160;1-2 m (Akihito and Meguro 1988).","This species is common (K. Fujiwara pers. comm. 2024). It is known from at least seven museum specimens collected in 1956, 1982, 1990, and 1991 (Akihito and Meguro 1988, FishNet2 online database accessed November 2023).",This species takes refuge among stones on rocky bottoms (Akihito and Meguro 1988).&#160;The maximum standard length is 4.8 cm (Akihito and Meguro 1988).,There are no known major threats.,This species is not utilized.,"This shallow rocky bottom species is common and widely distributed in Japan. There are no known major threats; therefore, it is listed as Least Concern.",
Barbulifer pantherinus,LC,LC,0.9996017813682556,NT,0.0003424871829338372,VU,2.5638300940045156e-05,EN,1.6234569557127543e-05,EX,9.878141099761706e-06,CR,4.09138374379836e-06,"This species is endemic to the western and northeastern Gulf of California, Mexico (Robertson and Allen 2024).&#160;The depth range for this fish is&#160;0–32 m (Robertson and Allen 2024). It occurs in more than ten locations.","This species is common and locally abundant and the population is not severely fragmented (O. Domínguez and D.R. Robertson pers. comm. 2024). It&#160;is commonly found in rocky areas with extensive to considerable algal cover (Findley and Van Tassell 2010). It is known from at least 149 museum lots, with the largest museum lot containing at least 34 individuals (FishNet2 online database accessed August 2023).&#160;<span style=""background-color: rgb(255, 255, 0);""><br/></span>","This cryptic&#160;species inhabits rocky shores with extensive to considerable algal cover (Findley and Van Tassell 2010). It has also been collected from mangrove<span style=""""> areas (González-Acosta&#160;<em>et al.</em>&#160;2018). The types were collected from floating alga (Pellegrin 1901). It ca</span>n also sometimes be found under sponges (Hoese and Larson 1985). The maximum total length is 5.2 cm (Robertson and Allen 2024).",This species may be locally impacted by coastal development.,This species is not utilized.,"This shallow, nearshore species has a small range in Mexico and is common and locally abundant. Coastal development is not considered a major global level threat; therefore, it is listed as Least Concern.",
Bollmannia macropoma,LC,LC,0.9995562434196472,NT,0.0003916898276656866,VU,2.5290555640822276e-05,EN,1.4698136510560289e-05,EX,8.393727512157056e-06,CR,3.6757501220563427e-06,"This species has a somewhat disjunct range in the eastern Pacific from the southern Gulf of California in Mexico, and northern Costa Rica to northern Peru (Van Tassell 2010, Robertson and Allen 2024). Its occurrence in the Galapagos requires fu<span style="""">rther investigation (D.R. Robertson pers. comm. 2024). Claims that this species is endemic to the Gulf of California (e.g.,&#160;Castro-Aguirre&#160;<em>et al.</em>&#160;2005 and Del Moral-Flores&#160;<em>et al.</em>&#160;2013) require verification.&#160;The depth range is&#160;90-255 m (Robertson and Allen 2024).</span><span style=""""><br/></span>","This species is uncommon&#160;<span style=""background-color: rgb(255, 255, 255);"">(D.R. Robertson pers. comm. 2024). It is</span>&#160;known from at least 22 museum specimens collected in 1889, 1932, 1966, 1973, and 1974 (FishNet2 online database accessed August 2023).",This deep-living species is found over soft mud or sand bottoms (Robertson and Allen 2024).&#160;The maximum total length is 13 cm (Robertson and Allen 2024).,There are no known major threats.,This species is not utilized.,"This widely distributed, deep-living soft bottom species has no known major threats; therefore, it is listed as Least Concern.",
